"original_creator","creations","max_depth"
"0xc63c3782be79708e3574a3cdef1998fe029b52b9",5789,2
"0xd3a49ce53a13dc4631a785b344feafdca6f378a3",5678,2
"0x19b5ef852a02a1148ca1121266952cdd28cb954f",5636,2
"0x6b01f9f457a0fd978d69cf317987e81c86b9b831",5597,2
"0x373e067c71a43a216ae01505c3c108b1690043dc",5570,2
"0xca9c49172f52539e897accc2c49adacfc7cb4f4b",5559,2
"0xc4dea6887ff8e2acc563c3f531ef1349f8743725",5553,2
"0x259f872a24bcc095ba1d9798b9c2c52423ca9bcf",5546,2
"0x6f803466bcd17f44fa18975bf7c509ba64bf3825",5529,1
"0xd3bb575b12c8cf7c4b4167612c0a2eefd3126d83",5459,2
"0x8fda769d60d11fa81a0822c1cf8d4ac656deb18d",5436,2
"0xb707357cd23682120459e0bdb385401185de5e3b",5429,3
"0x02c845ac4bac48a6cd1e1c88a84195b7d5805b82",5420,2
"0x9d207257f410303a779837fa0b55e7cafb15fec6",5412,2
"0x4ff54c42b286c5bfe0fb173289c0a3a7aaba4ce3",5404,2
"0x90aea21b1f8365513873efb99f133dc1a7fa812a",5351,2
"0x1dcb85efea6a3fb528d19b9174e88ee35bff540a",5343,3
"0x2cdccac1979907d0a6c9c66f74e8fade41ed9ebc",5316,2
"0x6124458143f719aa88fb465d187ef65de391b766",5312,2
"0x322d58b9e75a6918f7e7849aee0ff09369977e08",5228,2
"0x71f78361537a6f7b6818e7a760c8bc0146d93f50",5181,2
"0x49c5670efb87264ae75b2a23447a754096406f47",5167,1
"0x9da0143804ade55814fb4a40b2434053024cbac1",5123,2
"0x4785972bfb3a04e0b188821b647066adb4aa055e",5101,2
"0x2f2d07d60ea7330dd2314f4413ccbb2dc25276ef",5100,3
"0x711a8720b458700cc3512e9950c18d745b41dac9",5092,1
"0xcd1828572c55d175ea93fe1f35849fa52f20e8ae",5083,1
"0xc9d689fd857dcfaf8011ba064db989222e84c003",5052,1
"0xb28e5a0ced9b51335136cd65e46a4edfa17ee231",5032,2
